,Unnamed: 0,TrackID,cell_x,cell_y,death_time
719,719,767,434.85,523.9,195
720,720,769,100.75,520.0,250
721,721,770,570.05,522.6,180
722,722,771,512.85,520.0,215
723,723,772,553.15,521.95,180
724,724,773,224.9,525.2,235
725,725,774,611.65,522.6,175
726,726,775,650.65,523.9,255
727,727,777,554.45,487.5,200
728,728,778,165.75,490.75,210
729,729,779,330.85,487.5,220
730,730,780,419.9,491.4,205
731,731,781,595.4,488.15,265
732,732,784,618.8,494.65,255
733,733,786,192.4,497.9,235
734,734,787,53.3,495.95,260
735,735,788,405.6,497.9,215
736,736,789,503.1,495.95,185
737,737,790,138.45,498.55,225
738,738,791,666.9,497.9,260
739,739,792,155.35,523.25,195
740,740,793,271.05,505.05,260
741,741,794,240.5,499.85,245
742,742,795,657.15,503.1,250
743,743,796,351.65,497.25,245
744,744,797,299.65,500.5,255
745,745,798,469.3,501.8,180
746,746,799,559.0,503.75,225
747,747,800,211.9,499.85,200
748,748,801,603.2,501.15,230
749,749,802,336.05,503.1,185
750,750,803,375.05,506.35,255
751,751,804,395.2,508.3,240
752,752,805,638.95,503.1,260
753,753,806,122.2,503.75,210
754,754,807,256.1,547.3,215
755,755,809,94.9,540.15,160
756,756,810,115.05,546.0,170
757,757,811,232.7,542.1,235
758,758,812,378.95,546.65,220
759,759,813,273.65,547.95,250
760,760,814,570.05,544.7,190
761,761,815,592.15,545.35,210
762,762,816,159.25,542.1,240
763,763,817,527.15,546.0,230
764,764,819,64.35,546.65,160
765,765,820,210.6,549.25,210
766,766,821,325.0,550.55,230
767,767,823,338.65,542.1,185
768,768,824,310.05,551.2,355
769,769,825,427.7,550.55,265
770,770,826,494.0,551.85,180
771,771,827,538.85,552.5,230
772,772,829,508.95,553.15,210
773,773,830,349.7,554.45,355
774,774,832,672.1,552.5,175
775,775,833,454.35,555.1,225
776,776,834,91.65,556.4,215
777,777,836,235.95,561.6,215
778,778,837,231.4,398.45,265
779,779,838,418.6,534.95,220
780,780,839,185.25,525.2,225
781,781,840,344.5,527.15,195
782,782,841,495.3,524.55,210
783,783,842,268.45,529.1,255
784,784,843,325.65,534.3,235
785,785,844,456.3,525.85,155
786,786,845,383.5,526.5,255
787,787,846,115.7,524.55,245
788,788,847,585.0,530.4,200
789,789,848,308.75,529.1,315
790,790,849,540.8,533.65,185
791,791,850,665.6,531.7,265
792,792,851,249.6,532.35,200
793,793,853,360.75,534.95,235
794,794,854,622.05,405.6,210
795,795,856,138.45,535.6,250
796,796,857,51.35,530.4,225
797,797,858,286.65,534.3,235
798,798,859,171.6,534.3,185
799,799,861,395.85,536.25,270
800,800,862,551.85,536.9,195
801,801,863,197.6,533.0,240
802,802,864,627.9,538.2,235
803,803,865,677.95,535.6,300
804,804,866,456.3,540.8,205
805,805,867,505.7,539.5,210
806,806,868,614.25,543.4,165
807,807,869,511.55,431.6,195
808,808,871,596.7,427.05,260
809,809,872,201.5,426.4,235
810,810,873,529.75,423.15,235
811,811,874,498.55,425.1,160
812,812,875,397.8,427.7,255
813,813,876,614.9,429.65,280
814,814,877,128.7,428.35,245
815,815,878,335.4,433.55,215
816,816,879,224.25,429.65,230
817,817,880,267.8,430.3,205
818,818,881,426.4,434.2,165
819,819,882,308.75,435.5,240
820,820,883,89.7,434.2,240
821,821,884,144.95,434.2,260
822,822,885,375.7,422.5,175
823,823,887,566.15,436.8,280
824,824,888,49.4,438.1,515
825,825,889,367.9,437.45,155
826,826,890,530.4,437.45,250
827,827,891,588.9,440.7,265
828,828,892,293.15,439.4,240
829,829,893,620.1,445.9,245
830,830,894,353.6,444.6,195
831,831,896,190.45,442.0,200
832,832,897,128.7,443.3,200
833,833,898,204.75,445.25,190
834,834,899,465.4,448.5,150
835,835,900,94.9,413.4,265
836,836,901,96.2,489.45,230
837,837,902,79.95,405.6,250
838,838,903,423.8,403.0,180
839,839,904,601.9,408.85,235
840,840,905,524.55,408.85,225
841,841,906,566.8,409.5,215
842,842,907,36.4,411.45,75
843,843,908,60.45,406.9,230
844,844,909,132.6,408.2,210
845,845,910,208.65,404.95,245
846,846,915,510.25,410.15,225
847,847,916,480.35,488.15,160
848,848,917,245.05,412.75,205
849,849,918,115.05,414.05,210
850,850,919,188.5,413.4,225
851,851,920,465.4,413.4,170
852,852,921,167.7,415.35,235
853,853,922,442.0,415.35,150
854,854,923,554.45,420.55,170
855,855,924,578.5,421.85,245
856,856,925,221.0,416.65,245
857,857,929,137.8,419.9,255
858,858,930,328.25,423.8,165
859,859,931,126.75,481.0,235
860,860,932,602.55,470.6,210
861,861,933,270.4,470.6,185
862,862,935,330.2,469.3,240
863,863,936,558.35,473.2,240
864,864,937,581.1,471.25,245
